Read_ID	Hap1_Count	Hap2_Count	Other_Count
SRR17968711.347526	0	3	0
SRR17968712.650161	6	0	0
SRR17968711.2484176	1	3	0
SRR17968712.148933	16	1	0
SRR17968712.2531377	0	5	0
SRR17968711.336607	5	0	0
SRR17968711.315347	0	4	0
SRR17968712.285331	4	0	0
SRR17968711.2424619	18	0	0
SRR17968711.2425818	18	0	0
SRR17968712.1284496	21	0	0
SRR17968712.2885198	1	29	0
SRR17968711.106121	0	8	0
SRR17968712.1775235	0	2	0
SRR17968711.86972	5	0	0
SRR17968711.567260	0	3	0
SRR17968711.444694	0	3	0
SRR17968712.267715	0	5	0
SRR17968711.891302	2	0	0
SRR17968712.2661778	2	0	0
SRR17968711.2350746	9	0	0
SRR17968712.622492	8	0	0
SRR17968712.2443594	1	18	1
SRR17968711.2448054	4	0	0
SRR17968711.356772	3	0	0
SRR17968712.327791	19	0	0
SRR17968711.1739180	0	1	0
SRR17968711.1775480	1	18	0
SRR17968711.556584	26	1	0
SRR17968711.499981	1	20	0
SRR17968711.1867893	0	3	0
SRR17968711.7391	2	21	0
SRR17968712.252817	0	5	0
SRR17968711.535469	1	8	0
SRR17968711.785174	0	14	0
SRR17968712.1998562	0	9	0
SRR17968712.1999951	0	9	0
SRR17968711.2367221	20	0	0
SRR17968711.898872	1	25	2
SRR17968711.894382	7	0	0
SRR17968711.398333	10	0	0
SRR17968711.662144	0	23	1
SRR17968711.137367	19	0	0
SRR17968711.2221154	1	38	1
SRR17968711.191019	1	17	1
SRR17968711.135551	0	24	1
SRR17968711.180460	23	2	0
SRR17968711.2266442	0	16	0
SRR17968711.1356691	16	2	0
SRR17968711.557973	22	0	0
SRR17968712.640161	8	0	1
SRR17968712.463449	19	0	1
SRR17968712.796939	0	5	1
SRR17968711.375982	2	19	0
SRR17968712.3793292	23	0	0
SRR17968712.3552875	25	0	0
SRR17968712.1155232	6	0	0
SRR17968712.393211	0	18	0
SRR17968712.263042	29	0	0
SRR17968712.442971	1	24	0
SRR17968711.395805	22	0	0
SRR17968711.379575	5	1	0
SRR17968711.871891	15	2	3
SRR17968711.1508048	0	19	0
SRR17968711.8729	0	18	0
SRR17968711.8165	0	20	0
SRR17968712.3060561	19	1	0
SRR17968711.1715308	0	2	0
SRR17968712.250236	22	3	0
SRR17968711.247488	22	3	0
SRR17968712.1718169	0	3	0
SRR17968712.357171	0	10	0
SRR17968711.12545	0	22	1
SRR17968711.715510	0	5	0
SRR17968711.640092	23	1	0
SRR17968711.649559	56	2	0
SRR17968711.1430070	0	9	0
SRR17968711.2469216	1	24	2
SRR17968712.93981	3	23	0
SRR17968711.1571001	0	14	1
SRR17968711.1164072	33	0	1
SRR17968711.398714	24	0	0
SRR17968711.436859	2	26	1
SRR17968711.540501	1	40	0
SRR17968712.2486238	0	24	0
SRR17968712.1655671	0	3	0
SRR17968711.1109980	13	0	3
SRR17968711.809621	1	35	1
SRR17968711.1265389	1	7	0
SRR17968711.2341328	0	33	0
SRR17968712.459761	17	1	0
SRR17968712.522225	0	1	0
SRR17968711.733147	1	20	1
SRR17968712.3375099	0	25	0
SRR17968712.244192	18	1	0
SRR17968711.775706	62	2	1
SRR17968711.2398159	0	22	0
SRR17968712.425710	22	1	0
SRR17968712.1021758	0	3	0
SRR17968712.948406	4	0	0
SRR17968711.551782	1	8	0
SRR17968712.114114	18	0	0
SRR17968712.115393	57	3	0
SRR17968712.2039826	8	1	0
SRR17968711.690718	21	3	1
SRR17968711.689451	6	1	0
SRR17968712.17823	1	24	1
SRR17968711.104791	0	42	0
SRR17968712.374717	0	5	0
SRR17968711.541756	26	0	1
SRR17968711.418536	23	1	0
SRR17968711.2286994	0	4	0
SRR17968712.2649643	0	3	0
SRR17968711.355922	1	3	1
SRR17968712.3795281	71	5	0
SRR17968711.2372512	0	9	0
SRR17968712.1132269	15	0	0
SRR17968711.409188	0	6	0
SRR17968712.1205191	0	8	0
SRR17968711.734664	1	17	0
SRR17968712.701785	4	0	0
SRR17968712.2663521	26	0	0
SRR17968711.713503	34	2	1
SRR17968711.1988615	0	4	0
SRR17968711.1131521	41	0	1
SRR17968712.3194599	3	0	0
SRR17968711.852855	73	2	2
SRR17968712.2617693	4	51	1
SRR17968712.1106236	3	0	0
SRR17968711.1854588	3	0	0
SRR17968711.1464583	0	4	0
SRR17968712.1299154	0	2	0
SRR17968711.448445	26	0	0
SRR17968712.3323133	3	0	0
SRR17968712.823462	4	0	0
SRR17968712.3277939	2	0	0
SRR17968712.2358102	3	0	0
SRR17968712.91766	70	2	1
SRR17968712.3303910	0	0	1
SRR17968712.3390836	0	1	0
SRR17968712.2990685	1	0	0
SRR17968712.1126449	0	3	0
SRR17968712.3677811	0	1	0
SRR17968711.2293503	1	0	0
SRR17968712.3565560	5	0	0
SRR17968712.2387709	1	0	0
SRR17968711.1727513	0	5	1
SRR17968712.350276	16	0	0
SRR17968712.762598	2	0	1
SRR17968712.1317425	4	0	0
SRR17968711.2115491	0	1	0
SRR17968712.509231	0	3	0
SRR17968711.1746145	20	0	0
SRR17968712.2050888	15	0	2
SRR17968712.2329582	11	0	0
SRR17968712.185977	4	37	1
SRR17968711.2090971	7	0	0
SRR17968712.1935585	1	0	0
SRR17968711.1691878	3	1	0
SRR17968711.385115	1	20	1
SRR17968712.2955169	0	3	0
SRR17968712.3318397	0	1	0
SRR17968712.3084776	0	2	0
SRR17968711.616510	1	54	1
SRR17968711.1968325	4	0	0
SRR17968712.3198077	0	54	1
SRR17968712.586340	22	0	0
SRR17968711.878666	20	1	0
SRR17968711.1415274	10	0	0
SRR17968711.2334198	22	1	0
SRR17968711.1643404	12	2	0
SRR17968712.2120562	2	0	1
SRR17968711.1868168	15	2	0
SRR17968712.3533451	1	0	0
SRR17968711.885249	1	29	1
SRR17968712.3234425	3	0	0
SRR17968712.2913111	0	1	0
SRR17968712.3287268	17	1	0
SRR17968711.1115920	17	0	1
SRR17968711.1919488	11	0	0
SRR17968711.594802	27	2	0
SRR17968712.586146	14	2	0
SRR17968711.775098	19	0	0
SRR17968712.1256531	14	0	0
SRR17968712.129964	1	20	1
SRR17968712.1883544	0	1	0
SRR17968711.629586	15	0	0
SRR17968711.192014	30	0	1
SRR17968712.215303	4	28	3
SRR17968712.1309855	0	1	0
SRR17968712.1317743	1	0	0
SRR17968712.952408	0	1	0
SRR17968712.972026	13	0	1
SRR17968712.2941873	10	1	0
SRR17968712.2806975	5	0	0
SRR17968712.1606054	0	7	0
SRR17968711.2392013	7	0	0
SRR17968711.1891452	1	7	0
SRR17968712.1393232	0	2	0
SRR17968712.1785321	7	1	1
SRR17968712.553593	11	0	0
SRR17968712.1712109	0	7	0
SRR17968712.2423655	2	0	0
SRR17968711.222217	0	27	0
SRR17968712.2146809	0	5	0
SRR17968712.793529	12	1	0
SRR17968711.212192	64	2	1
SRR17968712.3021022	0	4	0
SRR17968711.2369479	0	14	0
SRR17968711.1175674	1	0	0
SRR17968711.846914	0	11	2
SRR17968712.2859659	4	0	0
SRR17968711.105995	11	0	0
SRR17968711.1405066	10	1	0
SRR17968711.1780143	0	6	0
SRR17968712.1544250	0	6	0
SRR17968712.3092295	0	1	0
SRR17968712.3595187	1	0	0
SRR17968712.3275549	0	1	0
SRR17968712.1219678	11	0	0
SRR17968711.1752064	1	0	0
SRR17968711.2082672	5	0	0
SRR17968711.266586	2	50	0
SRR17968712.1077726	1	10	0
SRR17968712.2938026	4	1	0
SRR17968712.512347	1	6	1
SRR17968711.968273	25	0	2
SRR17968712.152115	0	12	0
SRR17968711.776576	53	1	1
SRR17968712.3123380	4	0	0
SRR17968712.2170830	0	10	0
SRR17968712.3753633	1	1	1
SRR17968711.981195	30	0	0
SRR17968712.3065962	1	0	0
SRR17968712.3753874	0	1	0
SRR17968711.557329	55	4	0
SRR17968712.3241965	8	1	0
SRR17968711.1227140	5	1	0
SRR17968712.1973599	1	0	0
SRR17968712.1433436	0	3	0
SRR17968712.503326	0	10	0
SRR17968711.1705187	5	0	0
SRR17968711.497353	48	1	0
SRR17968711.1146692	7	0	0
SRR17968711.495272	34	3	2
SRR17968711.2047843	0	4	0
SRR17968711.1781469	0	2	0
SRR17968712.367889	10	1	0
SRR17968712.2439032	0	7	0
SRR17968712.1752281	0	2	1
SRR17968712.4119	15	5	2
SRR17968712.1029706	3	0	0
SRR17968712.2462261	5	0	0
SRR17968712.2202779	3	2	0
SRR17968712.640612	0	3	0
SRR17968712.3106007	0	2	0
SRR17968712.564175	2	0	0
SRR17968712.1859639	3	0	0
SRR17968712.1753933	3	1	0
SRR17968711.1862285	9	0	0
SRR17968712.175953	56	2	1
SRR17968711.1159710	0	2	1
SRR17968711.1007387	0	3	1
SRR17968712.119151	15	1	0
SRR17968711.2100632	0	1	0
SRR17968712.2617694	50	5	1
SRR17968712.434603	2	0	0
SRR17968711.13212	57	1	1
SRR17968711.1561017	4	0	0
SRR17968712.437112	0	2	0
SRR17968712.1146859	0	3	0
SRR17968712.2485150	42	0	0
SRR17968712.3062122	40	1	0
SRR17968712.3777217	23	0	1
SRR17968712.3443505	1	5	0
SRR17968712.195584	7	0	1
SRR17968712.195357	9	0	0
SRR17968712.1409616	2	0	0
SRR17968711.423873	2	1	0
SRR17968711.79592	0	1	0
SRR17968712.31540	1	10	0
SRR17968712.1899952	0	2	0
SRR17968712.3463711	7	0	0
SRR17968711.1982042	0	1	1
SRR17968712.3258054	0	4	0
SRR17968711.1973701	3	1	0
SRR17968711.1975339	0	4	0
SRR17968712.2457373	1	1	0
SRR17968712.3610014	0	1	0
SRR17968711.1663127	0	1	0
SRR17968712.2928616	51	2	1
SRR17968711.171925	0	56	0
SRR17968712.449575	0	2	0
SRR17968712.2239645	0	2	0
SRR17968711.2413797	2	41	2
SRR17968712.862249	0	30	2
SRR17968712.434315	2	0	0
SRR17968712.2702648	0	1	0
SRR17968712.967154	1	10	0
SRR17968711.1009422	0	1	0
SRR17968711.1775872	0	3	0
SRR17968711.31574	6	1	0
SRR17968712.1666617	2	0	0
SRR17968711.1085978	1	6	0
SRR17968711.513709	0	3	0
SRR17968712.614170	0	2	0
SRR17968711.309058	7	0	0
SRR17968712.2958754	0	1	0
SRR17968712.685965	0	2	0
SRR17968711.736071	0	35	3
SRR17968711.637922	20	0	1
SRR17968712.3639272	0	1	0
SRR17968712.3250006	0	0	1
SRR17968711.461918	5	0	0
SRR17968712.2288216	2	0	0
SRR17968712.354297	6	0	0
SRR17968712.3711181	2	0	0
SRR17968712.991426	1	0	0
SRR17968712.2413597	0	2	0
SRR17968711.1697615	0	1	1
SRR17968711.2426587	1	30	1
SRR17968712.3232519	2	0	0
SRR17968711.824057	0	8	1
SRR17968712.3235977	0	1	0
SRR17968711.347035	3	31	2
SRR17968711.584851	0	7	1
SRR17968712.2971017	1	0	0
SRR17968712.3519970	0	1	0
SRR17968711.1260163	2	0	0
SRR17968711.1183561	0	1	0
SRR17968712.2208503	0	5	0
SRR17968712.2614871	0	1	0
SRR17968712.2748814	0	1	0
SRR17968711.1575392	1	6	0
SRR17968712.2788850	4	0	0
SRR17968712.2567932	0	1	0
SRR17968711.1633193	4	0	0
SRR17968712.1475898	0	3	0
SRR17968711.1559608	2	15	0
SRR17968711.152122	36	0	0
SRR17968711.530575	4	1	0
SRR17968712.871370	2	0	0
SRR17968711.11310	38	0	0
SRR17968711.320413	0	2	1
SRR17968712.1828440	0	1	0
SRR17968711.1000435	2	33	1
SRR17968711.1180124	0	3	0
SRR17968712.1673206	2	3	0
SRR17968712.2682287	2	0	0
SRR17968712.1952670	5	1	0
SRR17968711.655941	0	19	0
SRR17968711.1967880	2	0	0
SRR17968711.1234815	53	0	0
SRR17968711.2381901	5	0	0
SRR17968711.1421586	39	1	1
SRR17968711.1974069	0	1	0
SRR17968712.455257	0	1	0
SRR17968711.1579339	3	1	1
SRR17968711.773029	0	5	0
SRR17968712.3492093	0	1	0
SRR17968712.1917238	0	3	0
SRR17968712.2236077	0	5	0
SRR17968712.2937291	0	3	0
SRR17968712.422065	0	4	1
SRR17968711.581953	4	43	4
SRR17968711.763412	6	32	4
SRR17968711.367376	0	11	1
SRR17968712.567451	2	0	0
SRR17968712.2595442	1	0	0
SRR17968712.440683	2	44	2
SRR17968712.2124377	0	2	0
SRR17968711.943994	29	2	4
SRR17968712.425969	0	4	0
SRR17968711.102125	47	1	2
SRR17968711.1741815	5	0	0
SRR17968711.403065	0	2	0
SRR17968712.206689	13	63	9
SRR17968712.1139704	0	6	0
SRR17968711.2391194	0	1	1
SRR17968711.308424	0	2	0
SRR17968712.3779670	49	1	1
SRR17968711.1083998	2	46	1
SRR17968712.3210453	4	0	0
SRR17968712.3581044	1	0	0
SRR17968712.804729	1	0	0
SRR17968712.3170733	0	1	0
SRR17968712.1953043	1	49	0
SRR17968712.1603512	0	1	0
SRR17968712.133325	2	0	0
SRR17968712.3553095	37	5	2
SRR17968711.884974	4	46	0
SRR17968712.2881932	0	1	0
SRR17968711.167023	47	1	0
SRR17968711.1190281	1	45	2
SRR17968711.1394059	0	4	0
SRR17968712.273470	43	2	0
SRR17968711.725528	0	1	0
SRR17968712.888472	0	2	0
SRR17968711.670182	0	3	0
SRR17968712.928944	0	4	0
SRR17968711.1483803	0	1	0
SRR17968712.2585150	0	0	1
SRR17968712.1150774	1	0	1
SRR17968712.790819	1	0	0
SRR17968711.156337	1	49	2
SRR17968712.596342	0	5	0
SRR17968711.2028503	3	34	2
SRR17968712.3118714	1	1	0
SRR17968712.2478609	0	1	0
SRR17968711.2137316	2	0	0
SRR17968712.915007	1	0	0
SRR17968712.1553360	48	3	1
SRR17968711.200654	48	0	2
SRR17968712.755053	46	2	2
SRR17968712.1525224	2	0	0
SRR17968711.1574722	0	3	0
SRR17968711.171884	4	40	3
SRR17968711.315645	47	2	0
SRR17968712.2216718	2	46	1
SRR17968712.2498430	0	1	0
SRR17968712.783603	0	11	0
SRR17968712.702065	31	0	1
SRR17968712.2018501	0	1	0
SRR17968712.1656976	0	3	0
SRR17968711.408386	47	1	1
SRR17968711.487898	43	2	1
SRR17968712.741651	0	3	0
SRR17968712.1077778	0	1	0
SRR17968712.3207766	1	0	0
SRR17968711.901368	0	3	0
