Read_ID	Hap1_Count	Hap2_Count	Other_Count
SRR17981951.4153548	20	2	0
SRR17981951.4153552	20	1	1
SRR17981951.4153549	18	2	1
SRR17981951.4153550	19	2	1
SRR17981951.4153551	18	4	1
SRR17981951.2134630	23	0	0
SRR17981951.2134631	22	0	1
SRR17981951.3475052	1	28	2
SRR17981951.4037289	1	15	2
SRR17981951.4037293	0	19	0
SRR17981951.4037301	0	18	0
SRR17981951.2572891	0	6	0
SRR17981951.2572893	0	7	0
SRR17981951.2572895	1	5	1
SRR17981951.2572897	0	5	1
SRR17981951.2572899	0	4	2
SRR17981951.2811633	1	3	0
SRR17981951.3052756	0	14	0
SRR17981951.3052758	1	13	0
SRR17981951.3052766	0	11	2
SRR17981951.3475057	4	39	4
SRR17981951.3475059	3	38	7
SRR17981951.3475061	3	38	4
SRR17981951.4037288	1	15	0
SRR17981951.4037292	3	12	1
SRR17981951.4037296	0	15	1
SRR17981951.4037300	1	18	0
SRR17981951.4037304	0	17	1
SRR17981951.2572892	1	6	0
SRR17981951.2572894	1	4	0
SRR17981951.2572896	0	5	1
SRR17981951.2572898	0	7	0
SRR17981951.3052755	0	13	0
SRR17981951.3052757	0	13	0
SRR17981951.3052759	1	12	0
SRR17981951.3052763	0	14	0
SRR17981951.3052767	0	13	1
SRR17981951.3422723	0	33	2
SRR17981951.3475056	2	44	2
SRR17981951.3475060	5	43	1
SRR17981951.3475062	6	41	4
SRR17981951.4037291	0	17	0
SRR17981951.4037295	0	15	2
SRR17981951.4037297	0	17	2
SRR17981951.4037299	1	18	0
SRR17981951.4037303	0	19	0
SRR17981951.4037305	0	19	0
SRR17981951.3052760	2	11	1
SRR17981951.4037286	1	15	3
SRR17981951.4037298	0	15	1
SRR17981951.4037302	3	14	0
SRR17981951.4037306	0	16	1
SRR17981951.3052762	1	12	0
SRR17981951.4037290	2	14	0
SRR17981951.3052765	1	13	0
SRR17981951.3475054	2	38	7
SRR17981951.3475063	0	32	3
SRR17981951.3475058	2	40	8
SRR17981951.4037287	2	16	0
SRR17981951.4037294	2	16	1
SRR17981951.2811634	0	3	0
SRR17981951.3052761	0	12	2
SRR17981951.3052764	0	14	0
SRR17981951.3422722	3	28	1
SRR17981951.3052754	1	7	1
SRR17981951.2572900	0	1	0
SRR17981951.3422724	5	19	3
SRR17981951.4153553	12	0	2
SRR17981951.4037307	0	7	0
SRR17981951.2940918	2	22	0
SRR17981951.3475055	3	24	1
SRR17981951.3475053	1	22	4
SRR17981951.3252967	2	41	1
SRR17981951.3252969	3	42	0
SRR17981951.3252971	1	43	0
SRR17981951.3252973	4	37	3
SRR17981951.3252975	1	12	0
SRR17981951.3252970	0	41	1
SRR17981951.3252972	1	43	1
SRR17981951.3252974	1	40	2
SRR17981951.3252968	1	39	2
SRR17981951.3252966	1	39	3
SRR17981951.2907257	35	3	1
SRR17981951.2907259	35	2	2
SRR17981951.2907258	33	2	4
SRR17981951.2907256	3	1	0
SRR17981951.3475051	0	4	0
SRR17981951.2907260	31	2	3
SRR17981951.4141476	34	2	4
SRR17981951.2851051	38	3	0
SRR17981951.2851045	41	0	1
SRR17981951.2851049	38	2	0
SRR17981951.2851053	32	4	3
SRR17981951.2851044	30	0	1
SRR17981951.2851046	35	3	2
SRR17981951.2851050	36	2	1
SRR17981951.2851052	41	0	0
SRR17981951.2851047	39	2	2
SRR17981951.2851048	37	1	1
SRR17981951.4297349	36	2	1
SRR17981951.4297351	37	2	1
SRR17981951.4297353	36	1	1
SRR17981951.4297346	26	0	1
SRR17981951.4297348	33	2	2
SRR17981951.4297350	36	2	1
SRR17981951.4297352	31	0	7
SRR17981951.4297347	37	1	0
SRR17981951.2116603	1	20	0
SRR17981951.2309222	34	0	1
SRR17981951.2309224	31	1	1
SRR17981951.2309226	32	0	2
SRR17981951.2309228	33	0	1
SRR17981951.2309230	20	1	0
SRR17981951.2309221	21	2	1
SRR17981951.2309227	27	2	3
SRR17981951.2309229	29	0	3
SRR17981951.2309223	22	5	2
SRR17981951.2309225	31	1	3
SRR17981951.4141475	20	4	1
SRR17981951.2116602	0	11	2
SRR17981951.4297354	9	2	1
SRR17981951.3899112	0	16	1
SRR17981951.3899113	0	17	0
SRR17981951.3899118	0	16	0
SRR17981951.3899124	0	15	1
SRR17981951.3899126	0	17	0
SRR17981951.3899119	1	14	0
SRR17981951.3899121	1	16	0
SRR17981951.3899127	0	4	0
SRR17981951.3899111	1	14	0
SRR17981951.3899123	1	16	0
SRR17981951.3899125	0	15	1
SRR17981951.3899114	1	14	1
SRR17981951.3899116	0	16	0
SRR17981951.3899120	0	17	0
SRR17981951.3899115	0	16	1
SRR17981951.3899117	1	16	0
SRR17981951.3899122	0	15	0
SRR17981951.3682925	1	16	2
SRR17981951.3682927	0	11	0
SRR17981951.3682928	0	7	1
SRR17981951.3682924	0	7	1
SRR17981951.3682926	0	10	1
SRR17981951.4653062	0	9	0
SRR17981951.4653064	0	9	0
SRR17981951.4653061	2	8	0
SRR17981951.4653063	1	9	0
SRR17981951.4653065	0	10	0
SRR17981951.4653059	0	3	1
SRR17981951.4653060	1	8	0
SRR17981951.4653066	0	10	0
SRR17981951.4266668	6	0	1
SRR17981951.4266662	8	0	0
SRR17981951.4266666	8	0	0
SRR17981951.4266670	8	0	0
SRR17981951.4266672	5	1	0
SRR17981951.4266674	7	1	0
SRR17981951.4266676	6	2	0
SRR17981951.4266678	8	0	0
SRR17981951.4266661	6	1	1
SRR17981951.4266663	7	1	0
SRR17981951.4266671	7	1	0
SRR17981951.4266675	6	2	0
SRR17981951.4266677	7	1	0
SRR17981951.4266664	7	1	0
SRR17981951.4266669	6	2	0
SRR17981951.4266673	7	0	1
SRR17981951.4266665	7	1	0
SRR17981951.4266667	7	1	0
SRR17981951.4249002	0	9	1
SRR17981951.4248999	0	9	1
SRR17981951.4249001	1	9	0
SRR17981951.4249003	0	9	0
SRR17981951.4248996	0	8	0
SRR17981951.4248998	0	9	1
SRR17981951.4248997	0	9	1
SRR17981951.4249000	0	9	0
SRR17981951.3211592	1	6	0
SRR17981951.3211594	0	8	0
SRR17981951.3211596	1	6	1
SRR17981951.3211598	0	8	0
SRR17981951.3211600	0	8	0
SRR17981951.3211604	0	1	0
SRR17981951.3211593	0	8	0
SRR17981951.3211595	1	6	1
SRR17981951.3211601	0	6	1
SRR17981951.3211603	1	7	0
SRR17981951.3211602	1	7	0
SRR17981951.3211599	0	8	0
SRR17981951.3211597	1	7	0
SRR17981951.4653067	0	7	0
SRR17981951.3735363	0	7	2
SRR17981951.3735365	1	8	0
SRR17981951.3735366	0	4	0
SRR17981951.3735364	1	7	0
SRR17981951.4249004	1	7	0
SRR17981951.3735362	0	7	1
SRR17981951.3295708	0	6	0
SRR17981951.3295709	0	3	0
SRR17981951.3048745	0	8	0
SRR17981951.3048746	1	6	1
SRR17981951.3048747	0	8	0
SRR17981951.3370954	0	7	1
SRR17981951.3370950	1	5	1
SRR17981951.3370952	0	6	1
SRR17981951.3370947	0	8	0
SRR17981951.3370949	0	8	0
SRR17981951.3370951	1	7	0
SRR17981951.3370953	1	7	0
SRR17981951.3370946	0	6	0
SRR17981951.3370945	0	4	0
SRR17981951.3370948	0	8	0
SRR17981951.3272182	0	2	0
SRR17981951.4557464	4	0	0
SRR17981951.4557460	4	0	0
SRR17981951.4557466	4	0	0
SRR17981951.4557468	4	0	0
SRR17981951.4557470	3	0	1
SRR17981951.4557472	4	0	0
SRR17981951.4557474	4	0	0
SRR17981951.4557476	3	0	1
SRR17981951.4557478	2	0	0
SRR17981951.4557459	3	1	0
SRR17981951.4557461	4	0	0
SRR17981951.4557463	4	0	0
SRR17981951.4557465	4	0	0
SRR17981951.4557467	4	0	0
SRR17981951.4557473	4	0	0
SRR17981951.4557477	4	0	0
SRR17981951.4557469	4	0	0
SRR17981951.4557471	4	0	0
SRR17981951.4557462	4	0	0
SRR17981951.4557457	4	0	0
SRR17981951.4557475	4	0	0
SRR17981951.4557458	3	0	0
SRR17981951.4266679	2	0	0
SRR17981951.4557456	2	0	0
SRR17981951.2071043	0	2	0
SRR17981951.3228338	9	0	0
SRR17981951.3228337	9	0	0
SRR17981951.3228341	9	0	0
SRR17981951.3228336	1	0	0
SRR17981951.3228342	8	1	0
SRR17981951.3228346	7	1	0
SRR17981951.3228340	8	1	0
SRR17981951.3228339	7	1	1
SRR17981951.3228343	9	0	0
SRR17981951.3228347	9	0	0
SRR17981951.3228344	8	0	0
SRR17981951.3228345	9	0	0
SRR17981951.2687921	1	7	1
SRR17981951.2687923	0	9	0
SRR17981951.2687925	0	9	0
SRR17981951.2687922	1	8	0
